stop_name_,duration_in_minutes_max,duration_in_minutes_median,duration_in_minutes_min,stop_lat_median,stop_lon_median
30TH ST AT PLEASANT AVE,18.8,12.216666666666667,6.583333333333333,40.76891,-74.024723
60TH ST AT PARK AVE,18.8,17.016666666666666,14.316666666666666,40.78559,-74.00944
BAYWAY AVE AT MCKINLEY ST,41.0,41.0,22.0,40.64451,-74.21238
BOULEVARD EAST AT NORTH MARGINAL RD,16.116666666666667,16.116666666666667,10.75,40.768129,-74.021441
BRICK TWP PARK RIDE,80.0,80.0,80.0,40.098968,-74.141133
BROAD AVE AT HOMESTEAD AVE,28.0,28.0,22.0,40.845278,-73.999861
BROAD AVE AT SHEFFIELD AVE,30.566666666666666,30.566666666666666,30.566666666666666,40.87398,-73.979213
CENTURY RD AT ESSEX RD,33.916666666666664,33.916666666666664,33.916666666666664,40.932238,-74.076713
CENTURY RD AT SADDLE RIVER RD,33.833333333333336,33.833333333333336,33.833333333333336,40.944728,-74.100084
DEGRAW AVE AT FRANK W. BURR BLVD,24.216666666666665,24.216666666666665,24.216666666666665,40.871549,-74.007183
E RIDGEWOOD AVE AT CHADWICK DR#,43.8,43.8,43.8,40.966508,-74.071361
EASTERN PKWY AT 15TH AVE,33.36666666666667,33.36666666666667,32.45,40.741208,-74.214883
FRANK W. BURR BLVD 590'N OF GLENWOOD AVE.,24.6,20.666666666666668,18.7,40.872519,-74.004633
GARDEN STATE PARKWAY UNDER RIDGEWOOD AVE,41.0,41.0,32.0,40.963979,-74.065833
GSP EXIT 120 PARK & RIDE,46.0,46.0,46.0,40.432429,-74.251681
HILLSIDE AVE AT MUNN AVE,40.516666666666666,38.63333333333333,23.566666666666666,40.698087,-74.22069
JERSEY GARDENS - MAIN ENTRANCE,26.0,25.0,24.0,40.661798,-74.17093
LINCOLN HARBOR,11.0,11.0,8.0,40.759878,-74.02228
LINWOOD AVE AT PARK PL,29.8,29.8,29.8,40.862279,-73.967644
LLOYD RD AT LINE RD,58.0,58.0,58.0,40.417259,-74.212923
MEADOWLANDS PKWY 265'S OF TENTH ST,18.266666666666666,18.266666666666666,18.266666666666666,40.793378,-74.070333
N BROAD ST AT HOLLYWOOD AVE,36.0,36.0,26.0,40.694879,-74.215862
NJ 18 AT EGGERS ST,44.0,44.0,44.0,40.468439,-74.407851
NJ ROUTE 208 AT MORLOT AVE,33.0,33.0,33.0,40.931819,-74.112173
NORTH & DOWD AVES,34.0,34.0,24.0,40.676478,-74.195112
NORTH AREA TRANS CENTER - PORT ST,28.0,20.0,20.0,40.707739,-74.160031
NORTH AVE 250' W OF JOHN ST.,49.85,49.85,42.03333333333333,40.657529,-74.293723
NORTH BERGEN PARK/RIDE LOT AT TERMINAL BUILDING B,21.666666666666668,21.65,11.816666666666666,40.776698,-74.042811
OLD BRIDGE PARK & RIDE (NORTHBOUND),42.0,42.0,36.0,40.446218,-74.299461
PARK AVE AT 34TH ST,12.416666666666666,9.55,8.6,40.770537,-74.023221
PATERSON PLANK RD AT GOTHAM PARKWAY,20.833333333333332,20.833333333333332,14.166666666666666,40.821189,-74.069941
PATERSON PLANK RD AT NJ TPKE EXIT 16E,21.85,17.575,12.35,40.785269,-74.050902
POLIFLY RD AT CHARLES ST,27.3,26.666666666666668,22.433333333333334,40.876438,-74.058812
RINGWOOD PARK & RIDE,56.0,56.0,56.0,41.088639,-74.266391
RIVER DR AT KENSINGTON TER,31.05,31.05,22.316666666666666,40.839716,-74.125656
RIVERVIEW DR AT RT 46,33.0,33.0,30.0,40.897628,-74.237583
ROOSEVELT AVE AT HARRISON AVE,40.0,40.0,25.0,40.590499,-74.228016
RT-3 AT CLIFTON COMMONS ENTRANCE,24.0,24.0,22.0,40.8291,-74.137471
RT-4 AT MARGARET ST,36.11666666666667,36.11666666666667,36.11666666666667,40.89174,-74.007502
RUTHERFORD AVE AT POLITO AVE,27.483333333333334,26.616666666666667,12.0,40.81034,-74.10344
SAYREVILLE PARK & RIDE GSP RAMP,41.0,41.0,41.0,40.47746,-74.298472
TEANECK RD AT EAST WINANT AVE#,24.083333333333332,24.083333333333332,24.083333333333332,40.849268,-74.021641
TEANECK RD AT LIBERTY RD,33.0,33.0,31.0,40.911787,-73.997883
TOMS RIVER PARK & RIDE,95.0,95.0,95.0,39.951668,-74.205201
UNION BLVD 320'S OF WILSON AVE,34.35,34.35,34.35,40.898689,-74.220353
US-22 560'W OF BALL AVE,45.333333333333336,42.36666666666667,42.36666666666667,40.690379,-74.291013
US-46 112' W of TEANECK RD #,26.766666666666666,25.416666666666664,19.383333333333333,40.848449,-74.022123
VINCE LOMBARDI PARK & RIDE,17.0,17.0,17.0,40.827069,-74.028153
WASHINGTON AVE AT ROAD A,23.116666666666667,23.116666666666667,13.7,40.818599,-74.065122
WAYNE ROUTE 23 TRANSIT CENTER,38.0,38.0,33.766666666666666,40.900867,-74.255823
WILLOW AVE AT 19TH ST,13.3,8.0,5.0,40.759809,-74.027751
WILLOWBROOK PARK & RIDE,36.0,35.0,23.0,40.885289,-74.258432
